title,skills
Software Engineer,Python|Java|C++|Git|Software Design|Problem Solving
Full Stack Developer,JavaScript|React|Node.js|HTML/CSS|Database|Git
Frontend Developer,JavaScript|React|Vue.js|CSS|HTML|UI/UX Design
Backend Developer,Python|Java|Node.js|Database Design|API Development|SQL
DevOps Engineer,Docker|Kubernetes|AWS|Linux|CI/CD|Scripting
Cloud Architect,AWS|Azure|GCP|System Design|Networking|Security
Data Scientist,Python|Machine Learning|Statistics|TensorFlow|SQL|Data Analysis
Machine Learning Engineer,Python|TensorFlow|PyTorch|Deep Learning|Statistics|Research
Data Engineer,Python|Spark|Hadoop|SQL|Data Warehousing|ETL
Database Administrator,SQL|MongoDB|Database Optimization|Linux|Backup Recovery|Security
Systems Administrator,Windows Server|Linux|Networking|Security|Active Directory|Troubleshooting
Network Engineer,Cisco|Networking|TCP/IP|Security|Routing|Configuration
Cybersecurity Specialist,Penetration Testing|Security Protocols|Networking|Risk Analysis|Encryption|Firewalls
Security Engineer,Security Architecture|Encryption|Networking|Linux|Risk Management|Compliance
Mobile Developer Android,Java|Kotlin|Android SDK|XML|REST API|Mobile Design
Mobile Developer iOS,Swift|Objective-C|iOS SDK|Xcode|REST API|Mobile Design
Game Developer,Unity|Unreal Engine|C#|C++|Game Physics|Graphics Programming
QA Engineer,Test Automation|Selenium|Manual Testing|Bug Tracking|SQL|API Testing
Software Architect,System Design|Architecture Patterns|Microservices|Scalability|Leadership|Multiple Languages
Technical Lead,Leadership|Code Review|Mentoring|Architecture|Problem Solving|Communication
Data Analyst,SQL|Python|Excel|Tableau|Data Visualization|Statistical Analysis
Business Analyst,Requirements Gathering|SQL|Excel|Process Improvement|Documentation|Stakeholder Communication
BI Developer,Power BI|Tableau|SQL|ETL|Database Design|Data Visualization
BI Analyst,SQL|Tableau|Power BI|Excel|Data Analysis|Reporting
Analytics Engineer,SQL|Python|dbt|Data Modeling|Analytics|Cloud Platforms
Accountant,Accounting Principles|QuickBooks|Excel|Financial Analysis|Tax Knowledge|GAAP
Financial Analyst,Financial Modeling|Excel|Python|Statistics|Valuation|Risk Analysis
Investment Banking Analyst,Financial Modeling|Valuation|Excel|Research|Communication|M&A
Audit Manager,Audit Procedures|Internal Controls|Risk Assessment|Leadership|Compliance|Communication
Tax Specialist,Tax Law|Tax Planning|Accounting|IRS Knowledge|Software|Compliance
Controller,Leadership|Financial Reporting|Accounting|FP&A|Risk Management|Strategy
CFO,Strategic Leadership|Financial Strategy|Risk Management|Board Communication|M&A|Investor Relations
Budget Analyst,Budget Planning|Forecasting|Excel|Financial Analysis|Communication|Attention to Detail
HR Manager,Recruitment|Employee Relations|Compensation|Compliance|Leadership|Communication
Talent Acquisition Specialist,Recruitment|Networking|Interviewing|Job Posting|ATS Systems|Communication
HR Business Partner,Strategic HR|Business Acumen|Employee Relations|Coaching|Data Analysis|Leadership
Training Specialist,Training Program Development|Presentation|eLearning|Assessment|Communication|Instructional Design
Learning & Development Manager,Curriculum Development|Leadership|Training Design|E-Learning|Coaching|Project Management
Compensation & Benefits Manager,Compensation Strategy|Benefits Administration|Excel|Market Analysis|Compliance|Communication
HR Operations Manager,HR Systems|Process Management|Compliance|Data Analysis|Leadership|Problem Solving
Chief People Officer,Strategic Leadership|Organizational Development|Culture Building|Change Management|Executive Communication|Vision Setting
Marketing Manager,Campaign Management|Brand Strategy|Analytics|Budget Management|Leadership|Communication
Digital Marketing Manager,SEO|SEM|Social Media|Analytics|Content Strategy|Email Marketing
SEO Specialist,SEO|Keyword Research|Technical SEO|Analytics|Content Optimization|Backlink Strategy
Content Marketing Manager,Content Strategy|Writing|SEO|Analytics|Project Management|Research
Social Media Manager,Social Media Strategy|Content Creation|Community Management|Analytics|Copywriting|Platform Knowledge
Email Marketing Specialist,Email Campaign Management|Segmentation|A/B Testing|Analytics|Copywriting|Automation Platforms
Product Manager,Product Strategy|Market Analysis|User Research|Data Analysis|Leadership|Communication
Product Marketing Manager,Product Strategy|Market Research|Positioning|Messaging|Campaign Management|Analytics
Sales Manager,Sales Strategy|Team Leadership|CRM|Negotiation|Target Setting|Communication
Sales Executive,Selling|Negotiation|Client Relationships|CRM|Product Knowledge|Communication
Account Executive,Account Management|Sales|Relationship Building|CRM|Negotiation|Product Knowledge
Business Development Manager,Business Development Strategy|Networking|Sales|Negotiation|Market Analysis|Communication
Marketing Director,Strategic Marketing|Leadership|Budget Management|Brand Strategy|Analytics|Team Management
Chief Marketing Officer,Strategic Leadership|Brand Vision|Executive Communication|P&L Management|Market Strategy|Team Leadership
CMO,Strategic Leadership|Brand Management|Executive Communication|Market Intelligence|Digital Transformation|Vision
Operations Manager,Process Management|Efficiency Optimization|Leadership|Quality Control|Project Management|Data Analysis
Supply Chain Manager,Supply Chain Strategy|Procurement|Vendor Management|Forecasting|Inventory Management|Analytics
Logistics Manager,Logistics Planning|Distribution|Fleet Management|Cost Optimization|Supplier Management|Software
Warehouse Manager,Warehouse Management|Inventory Control|Staff Management|Safety|Organization|Problem Solving
Quality Assurance Manager,Quality Management|Process Improvement|Statistical Analysis|Compliance|Leadership|Problem Solving
Process Improvement Manager,Lean Manufacturing|Six Sigma|Process Analysis|Data Analysis|Leadership|Change Management
Procurement Manager,Procurement Strategy|Vendor Management|Negotiation|Cost Analysis|Compliance|Strategic Sourcing
Demand Planner,Demand Forecasting|Statistical Analysis|ERP Systems|Supply Planning|Data Analysis|Excel
Production Manager,Production Planning|Staff Management|Quality Control|Equipment Maintenance|Safety|Problem Solving
Mechanical Engineer,CAD|Mechanical Design|Physics|Thermodynamics|Problem Solving|Technical Documentation
Civil Engineer,CAD|Project Management|Structural Analysis|Building Codes|AutoCAD|Technical Design
Electrical Engineer,Circuit Design|Electrical Systems|CAD|Power Systems|Troubleshooting|Technical Knowledge
Electronics Engineer,Circuit Design|Embedded Systems|Microcontrollers|CAD|Hardware Design|PCB Design
Embedded Systems Engineer,C/C++|Embedded Linux|Hardware|Microcontrollers|Real-time Systems|Low-level Programming
Chemical Engineer,Chemical Processes|Safety|Data Analysis|Thermochemistry|Process Design|Laboratory Skills
Manufacturing Engineer,Process Design|CAD|Production Planning|Quality Control|Problem Solving|Equipment Knowledge
Automotive Engineer,CAD|Vehicle Systems|Thermal Systems|Materials|Testing|Problem Solving
Aerospace Engineer,CAD|Aerodynamics|Structural Analysis|MATLAB|Physics|Design
Environmental Engineer,Environmental Assessment|Regulations|Water Systems|Waste Management|Sustainability|Analysis
Structural Engineer,Structural Analysis|CAD|Building Codes|Materials|Calculations|Design
Project Engineer,Project Management|Technical Knowledge|Documentation|Coordination|Problem Solving|Communication
Project Manager,Project Management|Budget Control|Timeline Management|Team Leadership|Risk Management|Communication
Construction Manager,Project Management|Construction Knowledge|Safety|Budget Control|Contractor Management|Compliance
Real Estate Agent,Sales|Customer Service|Marketing|Negotiation|Property Knowledge|Communication
Real Estate Broker,Sales Leadership|Real Estate Knowledge|Negotiation|Business Development|Team Management|Communication
Architect,Architectural Design|CAD|Building Codes|Creativity|Technical Knowledge|Client Communication
Landscape Architect,Design|CAD|Horticulture|Environmental Knowledge|Creativity|Technical Skills
Teacher,Instruction|Curriculum Development|Student Assessment|Communication|Classroom Management|Patience
College Professor,Research|Teaching|Publication|Mentoring|Subject Matter Expertise|Communication
Training Manager,Program Design|Leadership|Instruction|Evaluation|Curriculum Development|Communication
Instructional Designer,Course Development|Adult Learning|Technology|E-Learning|Assessment|Creativity
School Principal,Educational Leadership|Management|Budgeting|Staff Management|Community Relations|Vision
Academic Advisor,Academic Planning|Student Support|Counseling|Communication|Problem Solving|Organization
Nurse,Patient Care|Medical Knowledge|Communication|Critical Thinking|Compassion|Attention to Detail
Registered Nurse,Nursing Care|Patient Monitoring|Medical Records|Communication|Critical Thinking|Clinical Skills
Nursing Manager,Nursing Leadership|Staff Management|Patient Safety|Budget Management|Communication|Clinical Knowledge
Physician,Medical Knowledge|Diagnosis|Treatment|Patient Communication|Decision Making|Empathy
Surgeon,Surgical Expertise|Precision|Problem Solving|Patient Care|Research|Technical Skills
Pharmacist,Pharmacy Knowledge|Patient Counseling|Drug Interactions|Attention to Detail|Communication|Accuracy
Physical Therapist,Physical Therapy|Patient Assessment|Exercise Prescription|Communication|Anatomy Knowledge|Compassion
Occupational Therapist,Occupational Therapy|Patient Assessment|Treatment Planning|Communication|Problem Solving|Empathy
Medical Technologist,Lab Testing|Quality Control|Analysis|Attention to Detail|Equipment Operation|Accuracy
Healthcare Administrator,Healthcare Management|Budget Control|Leadership|Compliance|Strategic Planning|Communication
Clinical Lab Scientist,Laboratory Analysis|Quality Control|Equipment Maintenance|Data Analysis|Attention to Detail|Safety
Radiographer,Imaging Technology|Patient Care|Radiation Safety|Technical Skills|Communication|Attention to Detail
Dentist,Dental Procedures|Patient Communication|Diagnosis|Attention to Detail|Compassion|Clinical Skills
Psychologist,Psychological Assessment|Counseling|Research|Patient Communication|Critical Thinking|Empathy
Psychiatrist,Psychiatric Diagnosis|Treatment Planning|Patient Communication|Medical Knowledge|Problem Solving|Empathy
Graphic Designer,Design Software|Creativity|Visual Communication|Adobe Creative Suite|Branding|Attention to Detail
UX Designer,User Research|Wireframing|Prototyping|Usability Testing|Design Thinking|Communication
UI Designer,Visual Design|Prototyping Tools|Design Systems|UI Principles|Figma|Creativity
Web Designer,Web Design|HTML/CSS|Design Tools|User Experience|Responsive Design|Creativity
Video Editor,Video Editing Software|Storytelling|Color Grading|Audio Editing|Creativity|Attention to Detail
Animator,Animation Software|Creativity|Storytelling|Drawing|Timing|Technical Skills
3D Artist,3D Modeling|Texturing|Rendering|Software Skills|Creativity|Problem Solving
Creative Director,Creative Vision|Leadership|Communication|Design Knowledge|Strategic Thinking|Team Management
Art Director,Artistic Direction|Visual Communication|Team Leadership|Design Principles|Communication|Creativity
Photographer,Photography|Editing Software|Lighting|Composition|Client Service|Creativity
Copywriter,Writing|Creativity|SEO Knowledge|Marketing|Brand Voice|Research
Journalist,Writing|Reporting|Research|Communication|Ethics|Source Development
Producer,Production Management|Leadership|Technical Knowledge|Problem Solving|Communication|Creativity
Director,Strategic Planning|Leadership|Department Management|Budget Control|Decision Making|Communication
Writer,Writing|Storytelling|Research|Creativity|Communication|Attention to Detail
Editor,Content Editing|Writing|Organization|Attention to Detail|Communication|Management
Sound Engineer,Audio Engineering|Sound Design|Technical Skills|Equipment Knowledge|Problem Solving|Precision
Broadcast Technician,Broadcasting|Equipment Operation|Technical Knowledge|Troubleshooting|Safety|Attention to Detail
Lawyer,Legal Knowledge|Research|Writing|Negotiation|Communication|Ethics
Paralegal,Legal Research|Document Preparation|Organization|Communication|Attention to Detail|Legal Knowledge
Legal Secretary,Legal Knowledge|Administrative Skills|Organization|Communication|Typing|Attention to Detail
Law Clerk,Legal Research|Writing|Analysis|Attention to Detail|Communication|Problem Solving
Judge,Legal Expertise|Decision Making|Ethics|Fairness|Communication|Leadership
Corporate Lawyer,Corporate Law|Contract Negotiation|Research|Writing|Strategic Thinking|Communication
Patent Attorney,Patent Law|Technical Knowledge|Research|Writing|Communication|Legal Expertise
Tax Attorney,Tax Law|Legal Research|Planning|Writing|Communication|Analytical Skills
Management Consultant,Business Analysis|Problem Solving|Communication|Research|Strategic Thinking|Project Management
Strategy Consultant,Strategic Thinking|Analysis|Communication|Market Knowledge|Problem Solving|Leadership
Business Consultant,Business Analysis|Process Improvement|Communication|Problem Solving|Data Analysis|Project Management
IT Consultant,IT Knowledge|Problem Solving|Communication|System Design|Project Management|Technical Expertise
HR Consultant,HR Expertise|Organizational Development|Communication|Problem Solving|Strategic Thinking|Analysis
Customer Service Representative,Customer Service|Communication|Problem Solving|Patience|Product Knowledge|Attention to Detail
Customer Success Manager,Customer Relations|Account Management|Problem Solving|Communication|Product Knowledge|Analytics
Call Center Manager,Team Management|Customer Service|Leadership|Performance Metrics|Problem Solving|Communication
Technical Support Specialist,Technical Knowledge|Troubleshooting|Communication|Customer Service|Problem Solving|Patience
Research Scientist,Research|Scientific Knowledge|Experimentation|Data Analysis|Writing|Problem Solving
Product Researcher,Research Methodology|Data Analysis|User Research|Report Writing|Problem Solving|Communication
Laboratory Manager,Laboratory Management|Scientific Knowledge|Leadership|Safety|Equipment Maintenance|Quality Control
Administrative Assistant,Administrative Skills|Organization|Communication|Time Management|Typing|Software Skills
Executive Assistant,Executive Support|Organization|Communication|Discretion|Problem Solving|Leadership Support
Office Manager,Office Management|Leadership|Organization|Communication|Problem Solving|Administrative Skills
Receptionist,Customer Service|Communication|Organization|Phone Skills|Computer Skills|Friendliness
Chief Executive Officer,Strategic Leadership|Vision|Decision Making|Business Acumen|Communication|Executive Management
COO,Operations Management|Strategic Thinking|Leadership|Business Operations|Decision Making|Communication
Vice President,Strategic Leadership|Department Management|Business Development|Decision Making|Communication|Vision
General Manager,Business Management|Leadership|P&L Responsibility|Strategic Planning|Decision Making|Communication
Government Analyst,Policy Analysis|Research|Writing|Data Analysis|Government Knowledge|Communication
Public Administrator,Public Administration|Leadership|Policy Knowledge|Budget Management|Strategic Planning|Communication
Policy Advisor,Policy Expertise|Analysis|Writing|Research|Strategic Thinking|Communication
Electrical Utilities Manager,Electrical Systems|Management|Safety|Regulatory Knowledge|Problem Solving|Leadership
Water Treatment Operator,Water Treatment|Equipment Operation|Safety|Testing|Compliance|Maintenance
Safety Engineer,Safety Management|Risk Assessment|Regulatory Knowledge|Problem Solving|Communication|Leadership
Agricultural Engineer,Agricultural Systems|Equipment Design|Problem Solving|Technical Knowledge|Sustainability|Analysis
Food Scientist,Food Science|Research|Testing|Quality Control|Problem Solving|Technical Knowledge
Nutritionist,Nutrition Science|Meal Planning|Client Communication|Research|Health Knowledge|Counseling
Chef,Cooking|Recipe Development|Kitchen Management|Creativity|Food Safety|Time Management
Restaurant Manager,Restaurant Management|Leadership|Customer Service|Financial Management|Staff Management|Communication
Hotel Manager,Hotel Management|Leadership|Customer Service|Budget Control|Staff Management|Communication
Event Coordinator,Event Planning|Organization|Communication|Problem Solving|Vendor Management|Budget Management
Travel Agent,Travel Knowledge|Customer Service|Sales|Computer Skills|Organization|Communication
Tour Guide,Communication|Regional Knowledge|Customer Service|Cultural Sensitivity|Problem Solving|Enthusiasm
Sports Manager,Sports Management|Leadership|Marketing|Financial Management|Problem Solving|Communication
Coach,Athletic Knowledge|Coaching|Leadership|Communication|Motivation|Training Program Design
Personal Trainer,Fitness Knowledge|Training Program Design|Motivation|Communication|Anatomy|Problem Solving
Fitness Manager,Fitness Industry Knowledge|Management|Customer Service|Sales|Leadership|Communication
Truck Driver,Driving|Safety|Route Planning|Vehicle Maintenance|Time Management|Responsibility
Delivery Driver,Driving|Customer Service|Organization|Time Management|Safety|Communication
Fleet Manager,Fleet Management|Maintenance|Safety|Cost Management|Leadership|Problem Solving
Pilot,Flying|Navigation|Safety|Technical Knowledge|Decision Making|Responsibility
Social Worker,Case Management|Counseling|Problem Solving|Communication|Empathy|Crisis Intervention
Counselor,Counseling|Active Listening|Problem Solving|Empathy|Communication|Treatment Planning
Community Outreach Coordinator,Community Engagement|Program Management|Communication|Organization|Problem Solving|Cultural Sensitivity
Grant Writer,Grant Writing|Research|Communication|Organization|Problem Solving|Fundraising Knowledge
